Period,From date,To date,Geographic area,Age group,Male Cases,Male Rate,Female Cases,Female Rate,Total Cases,Total Rate,Male Hospitalizations,Male Hospitalizations Rate,Female Hospitalizations,Female Hospitalizations Rate,Total Hospitalizations Count,Total Hospitalizations Rate,Unknown Sex Hospitalizations,Unknown Sex Cases,Unknown Age and Sex Hospitalizations,Unknown Age and Sex Cases
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Haldimand-Norfolk Health Unit,80+,475,17185.2,813,23362.1,1304,20884,96,3473.2,92,2643.7,195,3123,7,16,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Haldimand-Norfolk Health Unit,All ages,4770,7704.1,6718,11162.6,11570,9476,277,447.4,251,417.1,538,440.6,10,82,1,2
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",0 to 4,122,3035.6,123,3258.3,246,3156.3,9,223.9,4,106,13,166.8,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",12 to 19,311,4300.9,380,5457.4,696,4903.5,1,13.8,0,0,1,7,0,5,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",20 to 39,1801,9158.9,2126,11891.7,3963,10556.2,11,55.9,9,50.3,20,53.3,0,36,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",40 to 59,1390,5857.6,2120,8829.7,3537,7408.9,50,210.7,24,100,74,155,0,27,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",5 to 11,212,3557,176,3129.4,389,3358.1,1,16.8,0,0,1,8.6,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",60 to 79,1285,4315.6,1403,4523.2,2696,4434.6,151,507.1,106,341.7,258,424.4,1,8,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",80+,772,12905.4,1259,16788.9,2032,15073.1,126,2106.3,125,1666.9,251,1861.9,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",All ages,5896,6118.6,7589,7842.5,13566,7024.3,349,362.2,268,277,618,320,1,81,0,2
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Halton Region Public Health,0 to 4,910,5798,779,5162,1690,5489.5,37,235.7,24,159,61,198.1,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Halton Region Public Health,12 to 19,2607,7448.6,2582,7674.9,5214,7595.9,7,20,7,20.8,14,20.4,0,25,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Halton Region Public Health,20 to 39,7904,10367.8,9612,12723.7,17571,11576.6,49,64.3,73,96.6,122,80.4,0,55,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Halton Region Public Health,40 to 59,8259,9449.1,9933,10866.4,18259,10211.1,196,224.2,132,144.4,329,184,1,67,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Halton Region Public Health,5 to 11,2052,7547.7,1783,6885.8,3846,7245.5,11,40.5,6,23.2,17,32,0,11,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Halton Region Public Health,60 to 79,3440,6654.5,3684,6342.9,7146,6509.7,339,655.8,278,478.6,617,562.1,0,22,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Halton Region Public Health,80+,1796,17135.8,3160,20115.9,4969,18972.9,396,3778.3,361,2298,758,2894.2,1,13,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Halton Region Public Health,All ages,26976,8882.5,31543,10001.9,58714,9484.2,1035,340.8,881,279.4,1918,309.8,2,195,0,1
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",City of Hamilton Public Health Services,0 to 4,939,6180.1,787,5513.1,1748,5931.7,23,151.4,16,112.1,39,132.3,0,22,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",City of Hamilton Public Health Services,12 to 19,2413,9205.4,2641,10562.7,5114,9985.2,11,42,7,28,18,35.1,0,60,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",City of Hamilton Public Health Services,20 to 39,11028,12905.8,15840,19664.3,27195,16382.3,106,124,119,147.7,226,136.1,1,327,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",City of Hamilton Public Health Services,40 to 59,8242,11026.1,12511,16421.2,21022,13927.6,306,409.4,242,317.6,549,363.7,1,269,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",City of Hamilton Public Health Services,5 to 11,1649,7511.5,1483,7040.4,3183,7399.4,6,27.3,4,19,10,23.2,0,51,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",City of Hamilton Public Health Services,60 to 79,5252,9317.8,5590,9013.5,10934,9236.1,656,1163.8,503,811.1,1160,979.9,1,92,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",City of Hamilton Public Health Services,80+,2315,21120.3,3934,22864.1,6282,22302.7,427,3895.6,459,2667.7,888,3152.6,2,33,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",City of Hamilton Public Health Services,All ages,31840,10945.9,42790,14441.2,75486,12855.4,1535,527.7,1350,455.6,2890,492.2,5,856,0,2
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Hastings Prince Edward Public Health,0 to 4,186,4498.2,164,4340.9,353,4461,7,169.3,7,185.3,15,189.6,1,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Hastings Prince Edward Public Health,12 to 19,395,5601.2,514,7421.3,915,6546,1,14.2,3,43.3,4,28.6,0,6,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Hastings Prince Edward Public Health,20 to 39,1808,8976.7,2930,15986.5,4774,12410,22,109.2,20,109.1,43,111.8,1,36,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Hastings Prince Edward Public Health,40 to 59,1368,6281.6,2603,11737.4,3976,9045.6,39,179.1,38,171.3,77,175.2,0,5,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Hastings Prince Edward Public Health,5 to 11,307,5038.6,275,4683.2,583,4872.5,0,0,0,0,0,0,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Hastings Prince Edward Public Health,60 to 79,1197,5290.4,1452,5899.8,2650,5610,134,592.2,129,524.2,263,556.8,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Hastings Prince Edward Public Health,80+,658,14667.9,1158,19481.8,1817,17420.9,115,2563.5,101,1699.2,216,2070.9,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Hastings Prince Edward Public Health,All ages,5922,6861.2,9097,10380.4,15072,8664.7,318,368.4,298,340,618,355.3,2,53,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Chatham-Kent Public Health,0 to 4,148,5551.4,119,4794.5,268,5205.9,7,262.6,7,282,14,272,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Chatham-Kent Public Health,12 to 19,337,6823.2,438,9273.8,775,8021.1,2,40.5,1,21.2,3,31,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Chatham-Kent Public Health,20 to 39,1290,10259.3,2147,18156.4,3438,14090.7,22,175,20,169.1,42,172.1,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Chatham-Kent Public Health,40 to 59,1197,8809.9,1939,14500.4,3138,11639.9,41,301.8,43,321.6,84,311.6,0,2,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Chatham-Kent Public Health,5 to 11,248,5973,239,6121.9,487,6045.2,0,0,0,0,0,0,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Chatham-Kent Public Health,60 to 79,975,7378.5,1132,8036.3,2107,7717.9,149,1127.6,99,702.8,248,908.4,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Chatham-Kent Public Health,80+,520,20496.6,913,23640.6,1435,22425.4,84,3311,77,1993.8,162,2531.6,1,2,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Chatham-Kent Public Health,All ages,4717,8789.1,6930,12773.3,11653,10797.5,305,568.3,247,455.3,553,512.4,1,6,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",0 to 4,348,7504.9,354,8384.7,702,7924.1,15,323.5,9,213.2,24,270.9,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",12 to 19,819,9531,995,11969.2,1819,10759.5,3,34.9,1,12,4,23.7,0,5,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",20 to 39,3653,12678.7,5846,21296.9,9509,16901.3,12,41.6,13,47.4,25,44.4,0,10,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",40 to 59,2340,8860.3,3864,14794.4,6210,11822.3,51,193.1,41,157,92,175.1,0,6,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",5 to 11,633,8869.3,561,8334.6,1195,8617,0,0,3,44.6,3,21.6,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",60 to 79,1536,6504.9,1720,6541.7,3259,6530.3,187,791.9,139,528.7,326,653.2,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",80+,816,17454.5,1393,20698.4,2212,19395,175,3743.3,141,2095.1,316,2770.7,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",All ages,10149,9770.2,14733,13917.8,24910,11876.9,444,427.4,347,327.8,791,377.1,0,28,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Lambton Public Health,0 to 4,215,6748.3,185,5847,401,6315,11,345.3,7,221.2,18,283.5,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Lambton Public Health,12 to 19,458,8079,548,9752.6,1011,8956.4,1,17.6,4,71.2,5,44.3,0,5,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Lambton Public Health,20 to 39,1819,11519.2,3048,20528,4882,15933.9,15,95,15,101,30,97.9,0,15,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Lambton Public Health,40 to 59,1564,9935.2,2600,16097.1,4173,13084,54,343,31,191.9,85,266.5,0,9,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Lambton Public Health,5 to 11,352,7230.9,278,5897.3,634,6616.6,0,0,0,0,0,0,0,4,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Lambton Public Health,60 to 79,1316,7702.7,1364,7533,2683,7623.9,126,737.5,73,403.2,199,565.5,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Lambton Public Health,80+,525,16757.1,743,16390.9,1272,16592.7,89,2840.7,60,1323.6,150,1956.7,1,4,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Lambton Public Health,All ages,6254,9551.9,8768,13059.9,15063,11358.8,296,452.1,190,283,487,367.2,1,41,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",0 to 4,164,4082.6,168,4379.6,332,4227.7,2,49.8,3,78.2,5,63.7,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",12 to 19,346,4598,425,5860.5,775,5244.6,2,26.6,1,13.8,3,20.3,0,4,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",20 to 39,1407,7528.1,2470,13851.5,3891,10653.9,12,64.2,8,44.9,20,54.8,0,14,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",40 to 59,1347,5750,2416,9925.6,3772,7896.7,44,187.8,33,135.6,77,161.2,0,9,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",5 to 11,270,4455.4,277,4807.4,550,4652.3,1,16.5,1,17.4,2,16.9,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",60 to 79,1525,6070.1,1737,6423.3,3271,6270.5,188,748.3,132,488.1,321,615.4,1,9,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",80+,796,17787.7,1293,20963,2099,19721.9,119,2659.2,122,1978,244,2292.6,3,10,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",All ages,5856,6556.5,8786,9525.9,14691,8092,368,412,300,325.3,672,370.1,4,49,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Middlesex-London Health Unit,0 to 4,680,5219.1,656,5263.2,1336,5240.7,36,276.3,32,256.7,68,266.7,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Middlesex-London Health Unit,12 to 19,1853,7963.7,2009,8882.3,3864,8420.9,13,55.9,17,75.2,30,65.4,0,2,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Middlesex-London Health Unit,20 to 39,7281,9361.1,10646,14291.5,17940,11781.6,91,117,111,149,202,132.7,0,13,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Middlesex-London Health Unit,40 to 59,4904,7758.9,7314,11382.2,12230,9594.9,198,313.3,137,213.2,335,262.8,0,12,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Middlesex-London Health Unit,5 to 11,1117,5505.4,1025,5296.1,2143,5405.7,3,14.8,7,36.2,10,25.2,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Middlesex-London Health Unit,60 to 79,3361,7057.4,3737,6947.9,7100,7001.3,405,850.4,367,682.3,772,761.3,0,2,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Middlesex-London Health Unit,80+,1835,20429.7,3145,22519,4980,21701.2,354,3941.2,332,2377.2,686,2989.4,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Middlesex-London Health Unit,All ages,21031,8274.2,28533,10934.8,49595,9628,1100,432.8,1003,384.4,2103,408.3,0,31,0,1
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Niagara Region Public Health,0 to 4,598,5305.2,535,5096.7,1145,5259.8,62,550,40,381.1,102,468.6,0,12,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Niagara Region Public Health,12 to 19,1509,7189.5,1706,8572,3277,8014,13,61.9,14,70.3,27,66,0,62,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Niagara Region Public Health,20 to 39,6630,10885.6,10709,19085,17478,14936.2,73,119.9,106,188.9,179,153,0,139,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Niagara Region Public Health,40 to 59,5570,9118,8945,14282.3,14590,11792.9,200,327.4,154,245.9,355,286.9,1,75,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Niagara Region Public Health,5 to 11,962,5653.5,896,5523.7,1894,5698.5,10,58.8,4,24.7,14,42.1,0,36,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Niagara Region Public Health,60 to 79,4106,7288.3,4581,7321.2,8721,7334.2,527,935.4,406,648.9,933,784.6,0,34,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Niagara Region Public Health,80+,2025,17263.4,3634,20685.3,5669,19349.4,455,3878.9,473,2692.4,928,3167.5,0,10,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Niagara Region Public Health,All ages,21403,8942.6,31010,12631.3,52784,10886.9,1340,559.9,1197,487.6,2538,523.5,1,371,0,3
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",North Bay Parry Sound District Health Unit,0 to 4,142,5158,132,4824.6,274,4991.8,10,363.2,7,255.8,17,309.7,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",North Bay Parry Sound District Health Unit,12 to 19,238,4564.6,239,4770.5,477,4665.5,1,19.2,0,0,1,9.8,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",North Bay Parry Sound District Health Unit,20 to 39,1021,6829.9,1807,12573.9,2829,9648.7,6,40.1,8,55.7,14,47.7,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",North Bay Parry Sound District Health Unit,40 to 59,951,5685.4,1575,9310.7,2527,7511.2,29,173.4,36,212.8,65,193.2,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",North Bay Parry Sound District Health Unit,5 to 11,168,3854.1,130,3112.3,298,3491.1,1,22.9,3,71.8,4,46.9,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",North Bay Parry Sound District Health Unit,60 to 79,911,5185,1005,5559.2,1918,5380.4,113,643.1,102,564.2,215,603.1,0,2,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",North Bay Parry Sound District Health Unit,80+,531,15841.3,858,18750,1390,17532.8,101,3013.1,86,1879.4,188,2371.3,1,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",North Bay Parry Sound District Health Unit,All ages,3962,6102.5,5746,8724,9713,7426.5,261,402,242,367.4,504,385.4,1,5,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Northwestern Health Unit,0 to 4,384,15679.9,382,17207.2,1105,23666.7,10,408.3,6,270.3,16,342.7,0,339,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Northwestern Health Unit,12 to 19,600,14197.8,672,16322.6,1736,20807.9,0,0,4,97.2,4,47.9,0,464,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Northwestern Health Unit,20 to 39,1934,18342.2,2371,24405.6,4849,23935,12,113.8,15,154.4,27,133.3,0,544,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Northwestern Health Unit,40 to 59,1425,14333.1,1824,18203.6,3517,17618.5,31,311.8,28,279.4,59,295.6,0,268,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Northwestern Health Unit,5 to 11,571,15042.1,515,14101.9,1652,22180.5,0,0,0,0,0,0,0,566,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Northwestern Health Unit,60 to 79,874,9744.7,924,10687,1894,10752.2,40,446,27,312.3,67,380.4,0,96,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Northwestern Health Unit,80+,242,17664.2,388,19948.6,642,19366.5,18,1313.9,24,1233.9,42,1267,0,12,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Northwestern Health Unit,All ages,6061,14677,7099,17608.8,15576,19085.7,111,268.8,104,258,215,263.4,0,2416,0,127
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ottawa Public Health,0 to 4,1421,5613.1,1325,5313.2,2760,5492.1,40,158,42,168.4,83,165.2,1,14,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ottawa Public Health,12 to 19,3383,7046.3,3644,7744.1,7079,7446.4,12,25,16,34,29,30.5,1,52,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ottawa Public Health,20 to 39,13474,8486.7,17837,11422.3,31479,9995.7,134,84.4,137,87.7,271,86.1,0,168,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ottawa Public Health,40 to 59,9931,7324.7,13117,9317.5,23208,8397.7,370,272.9,311,220.9,683,247.1,2,160,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ottawa Public Health,5 to 11,2766,6986.4,2612,6746.9,5409,6907.6,10,25.3,11,28.4,21,26.8,0,31,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ottawa Public Health,60 to 79,5949,6349,6204,5978.9,12230,6193.5,832,887.9,628,605.2,1467,742.9,7,77,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ottawa Public Health,80+,3513,20828.9,6236,24399.4,9804,23109.6,683,4049.6,590,2308.5,1282,3021.9,9,55,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ottawa Public Health,All ages,40440,7809.5,50979,9493.9,91983,8720.4,2081,401.9,1735,323.1,3836,363.7,20,564,0,7
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peel Public Health,0 to 4,3285,7981.6,2796,7165.9,6085,7589.6,167,405.8,118,302.4,285,355.5,0,4,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peel Public Health,12 to 19,7956,10265.4,7625,10513,15633,10419.8,27,34.8,28,38.6,55,36.7,0,52,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peel Public Health,20 to 39,39024,14911.7,43024,17792.8,82353,16355.9,319,121.9,318,131.5,637,126.5,0,305,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peel Public Health,40 to 59,25746,12949.3,32095,15373.4,57960,14220.1,819,411.9,633,303.2,1452,356.2,0,119,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peel Public Health,5 to 11,5392,8926,4928,8504,10350,8744.7,32,53,31,53.5,63,53.2,0,30,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peel Public Health,60 to 79,13973,11108.6,13637,10069.6,27660,10589.1,1721,1368.2,1210,893.5,2931,1122.1,0,50,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peel Public Health,80+,4286,20294.5,6244,21284.4,10536,20882,1250,5918.8,1210,4124.6,2460,4875.6,0,6,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peel Public Health,All ages,99677,12673.6,110361,14061.7,210611,13403.4,4335,551.2,3548,452.1,7883,501.7,0,573,0,7
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Huron Perth Health Unit,0 to 4,146,3522.3,125,3050.3,274,3324,9,217.1,6,146.4,15,182,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Huron Perth Health Unit,12 to 19,274,3986,392,5982.9,668,4975.4,0,0,1,15.3,1,7.4,0,2,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Huron Perth Health Unit,20 to 39,1012,5705.3,1912,11611.1,2936,8583.5,12,67.7,7,42.5,19,55.5,0,12,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Huron Perth Health Unit,40 to 59,859,4783.6,1572,8885.4,2449,6869.8,30,167.1,27,152.6,57,159.9,0,18,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Huron Perth Health Unit,5 to 11,243,4027.8,170,2882.3,414,3470,0,0,0,0,0,0,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Huron Perth Health Unit,60 to 79,888,5048.9,984,5297.4,1877,5190.4,99,562.9,67,360.7,166,459,0,5,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Huron Perth Health Unit,80+,609,17591,1023,20898.9,1636,19576.4,110,3177.4,85,1736.5,195,2333.4,0,4,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Huron Perth Health Unit,All ages,4033,5465,6179,8330.1,10258,6932.3,260,352.3,193,260.2,453,306.1,0,46,0,1
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peterborough Public Health ,0 to 4,176,5222.6,157,5041.7,333,5135.7,19,563.8,9,289,28,431.8,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peterborough Public Health ,12 to 19,327,5669.2,390,6769.7,721,6253.8,2,34.7,2,34.7,4,34.7,0,4,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peterborough Public Health ,20 to 39,1424,7868.7,2241,12178.7,3673,10063.6,17,93.9,15,81.5,32,87.7,0,8,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peterborough Public Health ,40 to 59,931,5431.7,1568,8816.4,2505,7172.5,47,274.2,34,191.2,82,234.8,1,6,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peterborough Public Health ,5 to 11,216,4149.9,206,4188.7,422,4168.7,4,76.8,1,20.3,5,49.4,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peterborough Public Health ,60 to 79,923,4998.6,1103,5372.1,2029,5203,129,698.6,119,579.6,248,635.9,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peterborough Public Health ,80+,660,17604.7,1128,20720.1,1791,19482.2,133,3547.6,112,2057.3,245,2665.1,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Peterborough Public Health ,All ages,4657,6486.6,6798,8950,11480,7769.9,351,488.9,292,384.4,644,435.9,1,25,0,1
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Porcupine Health Unit,0 to 4,266,13071.3,234,11255.4,506,12299.5,7,344,4,192.4,11,267.4,0,6,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Porcupine Health Unit,12 to 19,370,9077.5,443,11318.3,826,10337.9,2,49.1,5,127.7,7,87.6,0,13,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Porcupine Health Unit,20 to 39,1305,12014.4,1759,17521.7,3072,14697.9,15,138.1,28,278.9,43,205.7,0,8,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Porcupine Health Unit,40 to 59,907,8467.9,1288,11966.9,2200,10244.9,36,336.1,38,353.1,74,344.6,0,5,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Porcupine Health Unit,5 to 11,349,9869.9,353,10094.4,719,10223.2,1,28.3,0,0,1,14.2,0,17,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Porcupine Health Unit,60 to 79,668,7017.5,723,7615.3,1393,7326.6,60,630.3,55,579.3,115,604.8,0,2,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Porcupine Health Unit,80+,273,19117.6,432,19217.1,707,19232.9,25,1750.7,25,1112.1,51,1387.4,1,2,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Porcupine Health Unit,All ages,4139,9815.7,5233,12449.4,9425,11193.5,146,346.2,155,368.7,302,358.7,1,53,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Renfrew County and District Health Unit,0 to 4,84,3097.3,77,2874.2,161,2986.5,2,73.7,0,0,2,37.1,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Renfrew County and District Health Unit,12 to 19,175,3828.5,253,5955.7,431,4887.2,0,0,0,0,0,0,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Renfrew County and District Health Unit,20 to 39,594,4240.7,1459,12348.7,2058,7969.9,10,71.4,13,110,23,89.1,0,5,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Renfrew County and District Health Unit,40 to 59,621,4572.6,1385,10272.2,2008,7419.5,28,206.2,39,289.3,67,247.6,0,2,0,0
